Month,Sale
2012-1,0
2012-2,0
2012-3,0
2012-4,0
2012-5,0
2012-6,0
2012-7,0
2012-8,0
2012-9,0
2012-10,0
2012-11,0
2012-12,0
2013-1,0
2013-2,0
2013-3,0
2013-4,0
2013-5,0
2013-6,0
2013-7,0
2013-8,0
2013-9,0
2013-10,0
2013-11,0
2013-12,0
2019-1,0
2019-2,0
2019-3,0
2019-4,0
2019-5,0
2019-6,0
2019-7,0
2019-8,0
2019-9,0
2019-10,0
2019-11,0
2019-12,0
2021-1,0
2021-2,0
2021-3,0
2021-4,0
2021-5,0
2021-6,0
2021-7,0
2021-8,0
2021-9,0
2021-10,0
2021-11,0
2021-12,2
