Month,Sale
2013-1,0
2013-2,0
2013-3,0
2013-4,0
2013-5,0
2013-6,0
2013-7,0
2013-8,0
2013-9,0
2013-10,0
2013-11,0
2013-12,0
2014-1,0
2014-2,0
2014-3,0
2014-4,0
2014-5,0
2014-6,0
2014-7,0
2014-8,0
2014-9,0
2014-10,0
2014-11,0
2014-12,0
2015-1,0
2015-2,0
2015-3,0
2015-4,0
2015-5,0
2015-6,0
2015-7,0
2015-8,0
2015-9,0
2015-10,0
2015-11,0
2015-12,0
2016-1,0
2016-2,0
2016-3,0
2016-4,0
2016-5,0
2016-6,0
2016-7,0
2016-8,0
2016-9,0
2016-10,0
2016-11,0
2016-12,0
2017-1,0
2017-2,0
2017-3,0
2017-4,0
2017-5,2
2017-6,0
2017-7,0
2017-8,0
2017-9,0
2017-10,0
2017-11,0
2017-12,0
2018-1,0
2018-2,0
2018-3,0
2018-4,0
2018-5,0
2018-6,0
2018-7,0
2018-8,0
2018-9,0
2018-10,0
2018-11,0
2018-12,0
2019-1,2
2019-2,0
2019-3,0
2019-4,0
2019-5,8
2019-6,0
2019-7,0
2019-8,0
2019-9,0
2019-10,2
2019-11,7
2019-12,10
2020-1,2
2020-2,2
2020-3,2
2020-4,3
2020-5,0
2020-6,2
2020-7,0
2020-8,6
2020-9,4
2020-10,28
2020-11,21
2020-12,20
2021-1,9
2021-2,4
2021-3,4
2021-4,10
2021-5,2
2021-6,2
2021-7,2
2021-8,12
2021-9,29
2021-10,34
2021-11,63
2021-12,26
2022-1,13
2022-2,7
2022-3,9
2022-4,7
2022-5,3
2022-6,1
2022-7,4
2022-8,17
2022-9,0
2022-10,0
2022-11,0
2022-12,0
2012-1,0
2012-2,0
2012-3,0
2012-4,0
2012-5,0
2012-6,0
2012-7,0
2012-8,0
2012-9,0
2012-10,0
2012-11,0
2012-12,0
2013-1,0
2013-2,0
2013-3,0
2013-4,0
2013-5,0
2013-6,0
2013-7,0
2013-8,0
2013-9,0
2013-10,0
2013-11,0
2013-12,0
2019-1,0
2019-2,0
2019-3,0
2019-4,0
2019-5,0
2019-6,0
2019-7,0
2019-8,0
2019-9,0
2019-10,0
2019-11,0
2019-12,0
2021-1,0
2021-2,0
2021-3,0
2021-4,0
2021-5,0
2021-6,0
2021-7,0
2021-8,0
2021-9,0
2021-10,0
2021-11,0
2021-12,2
2020-1,0
2020-2,0
2020-3,0
2020-4,0
2020-5,0
2020-6,0
2020-7,0
2020-8,0
2020-9,0
2020-10,0
2020-11,2
2020-12,1
2021-1,0
2021-2,0
2021-3,0
2021-4,0
2021-5,0
2021-6,0
2021-7,0
2021-8,0
2021-9,2
2021-10,0
2021-11,0
2021-12,2
2012-1,0
2012-2,0
2012-3,0
2012-4,0
2012-5,0
2012-6,0
2012-7,0
2012-8,0
2012-9,0
2012-10,0
2012-11,0
2012-12,0
2013-1,0
2013-2,0
2013-3,0
2013-4,0
2013-5,0
2013-6,0
2013-7,0
2013-8,0
2013-9,0
2013-10,0
2013-11,0
2013-12,0
2014-1,0
2014-2,0
2014-3,0
2014-4,0
2014-5,0
2014-6,0
2014-7,0
2014-8,0
2014-9,0
2014-10,0
2014-11,0
2014-12,0
2016-1,0
2016-2,2
2016-3,0
2016-4,0
2016-5,1
2016-6,0
2016-7,0
2016-8,0
2016-9,0
2016-10,0
2016-11,0
2016-12,0
2017-1,0
2017-2,0
2017-3,0
2017-4,4
2017-5,0
2017-6,0
2017-7,0
2017-8,0
2017-9,0
2017-10,0
2017-11,0
2017-12,0
2018-1,0
2018-2,0
2018-3,0
2018-4,0
2018-5,0
2018-6,0
2018-7,0
2018-8,3
2018-9,0
2018-10,0
2018-11,0
2018-12,0
2019-1,1
2019-2,1
2019-3,0
2019-4,0
2019-5,0
2019-6,0
2019-7,0
2019-8,0
2019-9,1
2019-10,1
2019-11,0
2019-12,0
2020-1,0
2020-2,1
2020-3,0
2020-4,0
2020-5,0
2020-6,0
2020-7,1
2020-8,0
2020-9,0
2020-10,1
2020-11,1
2020-12,0
2021-1,0
2021-2,0
2021-3,1
2021-4,0
2021-5,0
2021-6,0
2021-7,2
2021-8,0
2021-9,1
2021-10,0
2021-11,0
2021-12,0
2022-1,1
2022-2,1
2022-3,0
2022-4,0
2022-5,1
2022-6,0
2022-7,2
2022-8,0
2022-9,0
2022-10,0
2022-11,0
2022-12,0
2014-1,0
2014-2,0
2014-3,0
2014-4,0
2014-5,0
2014-6,0
2014-7,0
2014-8,0
2014-9,0
2014-10,0
2014-11,0
2014-12,0
2018-1,0
2018-2,0
2018-3,0
2018-4,0
2018-5,0
2018-6,0
2018-7,0
2018-8,1
2018-9,0
2018-10,0
2018-11,0
2018-12,0
2021-1,0
2021-2,0
2021-3,0
2021-4,0
2021-5,0
2021-6,0
2021-7,0
2021-8,0
2021-9,1
2021-10,0
2021-11,0
2021-12,0
2022-1,0
2022-2,1
2022-3,0
2022-4,0
2022-5,0
2022-6,0
2022-7,1
2022-8,0
2022-9,0
2022-10,0
2022-11,0
2022-12,0
2012-1,0
2012-2,0
2012-3,0
2012-4,0
2012-5,0
2012-6,0
2012-7,0
2012-8,0
2012-9,0
2012-10,0
2012-11,0
2012-12,0
2014-1,0
2014-2,0
2014-3,0
2014-4,0
2014-5,0
2014-6,0
2014-7,0
2014-8,0
2014-9,0
2014-10,0
2014-11,0
2014-12,0
2019-1,0
2019-2,0
2019-3,0
2019-4,0
2019-5,0
2019-6,0
2019-7,0
2019-8,0
2019-9,0
2019-10,0
2019-11,0
2019-12,0
2020-1,0
2020-2,0
2020-3,0
2020-4,0
2020-5,0
2020-6,0
2020-7,0
2020-8,0
2020-9,0
2020-10,2
2020-11,0
2020-12,0
2021-1,0
2021-2,0
2021-3,0
2021-4,0
2021-5,0
2021-6,0
2021-7,0
2021-8,0
2021-9,0
2021-10,0
2021-11,0
2021-12,2
2013-1,0
2013-2,0
2013-3,0
2013-4,0
2013-5,0
2013-6,0
2013-7,0
2013-8,0
2013-9,0
2013-10,0
2013-11,0
2013-12,0
2014-1,0
2014-2,0
2014-3,0
2014-4,0
2014-5,0
2014-6,0
2014-7,0
2014-8,0
2014-9,0
2014-10,0
2014-11,0
2014-12,0
2018-1,0
2018-2,0
2018-3,0
2018-4,0
2018-5,0
2018-6,0
2018-7,0
2018-8,0
2018-9,0
2018-10,0
2018-11,0
2018-12,0
2022-1,0
2022-2,0
2022-3,0
2022-4,0
2022-5,1
2022-6,0
2022-7,0
2022-8,0
2022-9,0
2022-10,0
2022-11,0
2022-12,0
2012-1,0
2012-2,0
2012-3,0
2012-4,0
2012-5,0
2012-6,0
2012-7,0
2012-8,0
2012-9,0
2012-10,0
2012-11,0
2012-12,0
2014-1,0
2014-2,0
2014-3,0
2014-4,0
2014-5,0
2014-6,0
2014-7,0
2014-8,0
2014-9,0
2014-10,0
2014-11,0
2014-12,0
2016-1,0
2016-2,0
2016-3,0
2016-4,0
2016-5,0
2016-6,0
2016-7,0
2016-8,0
2016-9,0
2016-10,0
2016-11,0
2016-12,0
2020-1,0
2020-2,0
2020-3,0
2020-4,0
2020-5,0
2020-6,0
2020-7,0
2020-8,0
2020-9,0
2020-10,0
2020-11,1
2020-12,0
2021-1,0
2021-2,0
2021-3,0
2021-4,0
2021-5,0
2021-6,3
2021-7,0
2021-8,0
2021-9,0
2021-10,0
2021-11,0
2021-12,0
2012-1,0
2012-2,0
2012-3,0
2012-4,0
2012-5,0
2012-6,0
2012-7,0
2012-8,0
2012-9,0
2012-10,0
2012-11,0
2012-12,0
2014-1,0
2014-2,0
2014-3,0
2014-4,0
2014-5,0
2014-6,0
2014-7,0
2014-8,0
2014-9,0
2014-10,0
2014-11,0
2014-12,0
2016-1,0
2016-2,0
2016-3,0
2016-4,0
2016-5,0
2016-6,0
2016-7,0
2016-8,0
2016-9,0
2016-10,5
2016-11,0
2016-12,0
2017-1,0
2017-2,0
2017-3,0
2017-4,0
2017-5,0
2017-6,2
2017-7,0
2017-8,0
2017-9,0
2017-10,0
2017-11,6
2017-12,2
2018-1,0
