Material,Month,Sale
00000-6200M,2013-1,0
00000-6200M,2013-2,0
00000-6200M,2013-3,0
00000-6200M,2013-4,0
00000-6200M,2013-5,0
00000-6200M,2013-6,0
00000-6200M,2013-7,0
00000-6200M,2013-8,0
00000-6200M,2013-9,0
00000-6200M,2013-10,0
00000-6200M,2013-11,0
00000-6200M,2013-12,0
00000-6200M,2014-1,0
00000-6200M,2014-2,0
00000-6200M,2014-3,0
00000-6200M,2014-4,0
00000-6200M,2014-5,0
00000-6200M,2014-6,0
00000-6200M,2014-7,0
00000-6200M,2014-8,0
00000-6200M,2014-9,0
00000-6200M,2014-10,0
00000-6200M,2014-11,0
00000-6200M,2014-12,0
00000-6200M,2015-1,0
00000-6200M,2015-2,0
00000-6200M,2015-3,0
00000-6200M,2015-4,0
00000-6200M,2015-5,0
00000-6200M,2015-6,0
00000-6200M,2015-7,0
00000-6200M,2015-8,0
00000-6200M,2015-9,0
00000-6200M,2015-10,0
00000-6200M,2015-11,0
00000-6200M,2015-12,0
00000-6200M,2016-1,0
00000-6200M,2016-2,0
00000-6200M,2016-3,0
00000-6200M,2016-4,0
00000-6200M,2016-5,0
00000-6200M,2016-6,0
00000-6200M,2016-7,0
00000-6200M,2016-8,0
00000-6200M,2016-9,0
00000-6200M,2016-10,0
00000-6200M,2016-11,0
00000-6200M,2016-12,0
00000-6200M,2017-1,0
00000-6200M,2017-2,0
00000-6200M,2017-3,0
00000-6200M,2017-4,0
00000-6200M,2017-5,2
00000-6200M,2017-6,0
00000-6200M,2017-7,0
00000-6200M,2017-8,0
00000-6200M,2017-9,0
00000-6200M,2017-10,0
00000-6200M,2017-11,0
00000-6200M,2017-12,0
00000-6200M,2018-1,0
00000-6200M,2018-2,0
00000-6200M,2018-3,0
00000-6200M,2018-4,0
00000-6200M,2018-5,0
00000-6200M,2018-6,0
00000-6200M,2018-7,0
00000-6200M,2018-8,0
00000-6200M,2018-9,0
00000-6200M,2018-10,0
00000-6200M,2018-11,0
00000-6200M,2018-12,0
00000-6200M,2019-1,2
00000-6200M,2019-2,0
00000-6200M,2019-3,0
00000-6200M,2019-4,0
00000-6200M,2019-5,8
00000-6200M,2019-6,0
00000-6200M,2019-7,0
00000-6200M,2019-8,0
00000-6200M,2019-9,0
00000-6200M,2019-10,2
00000-6200M,2019-11,7
00000-6200M,2019-12,10
00000-6200M,2020-1,2
00000-6200M,2020-2,2
00000-6200M,2020-3,2
00000-6200M,2020-4,3
00000-6200M,2020-5,0
00000-6200M,2020-6,2
00000-6200M,2020-7,0
00000-6200M,2020-8,6
00000-6200M,2020-9,4
00000-6200M,2020-10,28
00000-6200M,2020-11,21
00000-6200M,2020-12,20
00000-6200M,2021-1,9
00000-6200M,2021-2,4
00000-6200M,2021-3,4
00000-6200M,2021-4,10
00000-6200M,2021-5,2
00000-6200M,2021-6,2
00000-6200M,2021-7,2
00000-6200M,2021-8,12
00000-6200M,2021-9,29
00000-6200M,2021-10,34
00000-6200M,2021-11,63
00000-6200M,2021-12,26
00000-6200M,2022-1,13
00000-6200M,2022-2,7
00000-6200M,2022-3,9
00000-6200M,2022-4,7
00000-6200M,2022-5,3
00000-6200M,2022-6,1
00000-6200M,2022-7,4
00000-6200M,2022-8,17
00000-6200M,2022-9,0
00000-6200M,2022-10,0
00000-6200M,2022-11,0
00000-6200M,2022-12,0
00006-2200M,2012-1,0
00006-2200M,2012-2,0
00006-2200M,2012-3,0
00006-2200M,2012-4,0
00006-2200M,2012-5,0
00006-2200M,2012-6,0
00006-2200M,2012-7,0
00006-2200M,2012-8,0
00006-2200M,2012-9,0
00006-2200M,2012-10,0
00006-2200M,2012-11,0
00006-2200M,2012-12,0
00006-2200M,2013-1,0
00006-2200M,2013-2,0
00006-2200M,2013-3,0
00006-2200M,2013-4,0
00006-2200M,2013-5,0
00006-2200M,2013-6,0
00006-2200M,2013-7,0
00006-2200M,2013-8,0
00006-2200M,2013-9,0
00006-2200M,2013-10,0
00006-2200M,2013-11,0
00006-2200M,2013-12,0
00006-2200M,2019-1,0
00006-2200M,2019-2,0
00006-2200M,2019-3,0
00006-2200M,2019-4,0
00006-2200M,2019-5,0
00006-2200M,2019-6,0
00006-2200M,2019-7,0
00006-2200M,2019-8,0
00006-2200M,2019-9,0
00006-2200M,2019-10,0
00006-2200M,2019-11,0
00006-2200M,2019-12,0
00006-2200M,2021-1,0
00006-2200M,2021-2,0
00006-2200M,2021-3,0
00006-2200M,2021-4,0
00006-2200M,2021-5,0
00006-2200M,2021-6,0
00006-2200M,2021-7,0
00006-2200M,2021-8,0
00006-2200M,2021-9,0
00006-2200M,2021-10,0
00006-2200M,2021-11,0
00006-2200M,2021-12,2
00006-5200M,2020-1,0
00006-5200M,2020-2,0
00006-5200M,2020-3,0
00006-5200M,2020-4,0
00006-5200M,2020-5,0
00006-5200M,2020-6,0
00006-5200M,2020-7,0
00006-5200M,2020-8,0
00006-5200M,2020-9,0
00006-5200M,2020-10,0
00006-5200M,2020-11,2
00006-5200M,2020-12,1
00006-5200M,2021-1,0
00006-5200M,2021-2,0
00006-5200M,2021-3,0
00006-5200M,2021-4,0
00006-5200M,2021-5,0
00006-5200M,2021-6,0
00006-5200M,2021-7,0
00006-5200M,2021-8,0
00006-5200M,2021-9,2
00006-5200M,2021-10,0
00006-5200M,2021-11,0
00006-5200M,2021-12,2
00008-5200M,2012-1,0
00008-5200M,2012-2,0
00008-5200M,2012-3,0
00008-5200M,2012-4,0
00008-5200M,2012-5,0
00008-5200M,2012-6,0
00008-5200M,2012-7,0
00008-5200M,2012-8,0
00008-5200M,2012-9,0
00008-5200M,2012-10,0
00008-5200M,2012-11,0
00008-5200M,2012-12,0
