Part No.,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,Grand Total
00000-6200M,2,7,10,2,2,2,3,0,2,0,6,4,26,17,22,9,4,4,10,2,2,2,12,29,34,63,24,15,7,9,7,3,1,2,17,7,368
00006-2200M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
00006-5200M,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,7
00008-5200M,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0,0,1,0,2,0,0,14
00008-6200M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3
00008-7200M,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
00008-8100M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
00009-63000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
00033-8000M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,10,0,0,23
00033-90000,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,14
00037-81000,2,9,2,0,0,0,1,0,0,0,0,3,0,9,4,2,0,0,2,1,0,0,0,0,0,8,6,1,2,0,1,1,2,0,1,1,58
00037-91000,2,20,6,3,4,3,4,4,0,0,0,8,6,20,23,4,1,2,8,4,0,0,2,5,11,42,34,15,4,3,4,3,0,1,3,9,258
00038-50000,1,8,1,0,0,0,1,0,0,0,0,2,2,9,10,1,1,0,0,0,0,0,0,0,0,9,9,1,1,0,0,1,0,0,0,1,58
00038-60000,4,29,9,3,5,3,3,3,1,0,0,4,6,21,26,7,2,4,4,2,1,0,4,2,9,31,39,13,4,3,4,1,0,1,1,4,253
00039-60000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4
00041-5000M,0,2,1,0,2,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,3,5,0,5,3,0,0,0,0,3,31
00044-3200M,30,78,26,32,0,24,10,6,0,0,2,0,32,86,66,4,9,5,1,0,0,0,3,7,14,233,86,37,24,20,18,8,7,60,20,4,952
00045-0000M,20,20,0,8,0,0,8,0,0,4,0,0,0,34,22,4,0,0,0,0,0,0,0,10,14,10,0,8,0,0,10,0,9,48,0,8,237
00045-1000M,32,18,8,5,0,12,10,2,10,0,10,0,8,20,35,20,2,2,24,0,0,4,10,0,2,32,31,10,0,0,8,0,0,234,8,12,569
00045-3000M,0,0,2,0,0,3,0,0,0,0,2,0,7,11,6,1,0,1,0,0,0,0,2,2,0,21,11,2,2,1,3,0,0,2,0,1,80
00046-1200M,1,0,0,1,1,0,0,0,2,2,0,0,0,1,0,0,0,2,1,0,1,2,0,1,0,0,0,0,2,0,0,3,0,0,1,1,22
00068-80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
00069-00000,0,3,7,2,2,0,10,0,4,0,0,0,0,7,51,28,2,2,0,0,10,0,0,6,2,40,75,6,9,0,2,0,0,4,24,2,298
00071-2000M,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
00073-8000M,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,7
00073-9000M,10,11,0,0,0,11,0,0,0,0,0,1,4,39,26,0,0,0,0,0,6,0,2,2,2,20,18,0,0,0,0,0,0,0,0,0,152
00082-30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5
00082-5100M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5
00085-30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
00085-40000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00085-4000C,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6
00093-41000,0,2,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,14
00096-00000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4
00097-50008,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,2,0,0,0,0,0,0,0,12
00097-6000M,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20
00098-00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
01053-51235,2,73,0,5,4,0,0,8,0,0,0,0,20,44,76,4,6,0,12,4,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,276
01053-51240,4,12,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,10,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,0,62
01123-50816,74,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
01153-50816,9,51,10,0,0,0,2,1,0,0,0,1,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
01153-50820,1,77,55,2,0,4,15,0,3,2,0,38,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228
02056-50120,8,103,69,5,4,0,0,8,0,0,3,4,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
02056-50140,10,12,0,0,0,0,1,0,0,0,0,0,1,14,30,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,73
02114-50080,21,130,17,6,36,7,6,12,2,10,0,23,26,71,147,0,1,0,0,0,0,0,0,0,12,282,97,13,58,22,10,2,10,0,24,19,1064
02114-50100,324,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204
02526-6000M,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,7
03291-0200M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,6
03502-2300M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
